collection,variable,type,size_kb_per_event,doc
HLT,HLT_AK8DiPFJet280_280_SoftDropMass30,bool,0.000181640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8DiPFJet290_290_SoftDropMass30,bool,0.000181640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet140,bool,0.0001650390625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet200,bool,0.0001611328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet220_SoftDropMass40,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p50,bool,0.0002236328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p53,bool,0.0002236328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p55,bool,0.0002236328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p60,bool,0.0002236328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet230_SoftDropMass40,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet230_SoftDropMass40_PNetBB0p06,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet230_SoftDropMass40_PNetBB0p10,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p03,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p05,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet250_SoftDropMass40_PNetBB0p06,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet250_SoftDropMass40_PNetBB0p10,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p03,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p05,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet260,bool,0.0001611328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet275_Nch40,bool,0.0001669921875,Trigger/flag bit (process: HLT)
