file,label,eta_min,eta_max,pt_min,pt_max,nvtx_center,n_events,mean_offset_GeV,mean_offset_error_GeV
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.75,1.0,57.5,60.0,-0.03291588003048673,0.005801136719571855
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.75,1.0,62.5,77.0,-0.038470754150434265,0.006507556203976645
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.75,1.0,67.5,67.0,-0.03781854333147518,0.006458533956689455
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.75,1.0,72.5,31.0,-0.03135124175253535,0.008209148657653376
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,0.75,1.0,77.5,35.0,-0.02838805007049814,0.004349323714899704
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.0,1.5,42.5,45.0,-0.08533913044051991,0.013153546533986963
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.0,1.5,47.5,58.0,-0.050341475554260204,0.01080015615346309
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.0,1.5,52.5,47.0,-0.04151640808583792,0.009294499583065746
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.0,1.5,57.5,60.0,-0.02580796517431736,0.0057045220719824435
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.0,1.5,62.5,77.0,-0.03189171706749634,0.006072169478963847
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.0,1.5,67.5,67.0,-0.03468591013728683,0.007610707284938476
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.0,1.5,72.5,31.0,-0.039653563724582896,0.00897423103652022
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.0,1.5,77.5,35.0,-0.022713311069778034,0.0060410868366482795
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.5,2.0,42.5,21.0,-0.17055543325841427,0.07091974526656109
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.5,2.0,47.5,35.0,-0.0906668143679521,0.02799610794312106
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.5,2.0,52.5,36.0,-0.09675196021352248,0.0291055400887977
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.5,2.0,57.5,45.0,-0.07596670424358712,0.030425506037719634
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.5,2.0,62.5,65.0,-0.0753849198934264,0.02039728857726352
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.5,2.0,67.5,58.0,-0.040148193795426654,0.02736363750524944
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.5,2.0,72.5,29.0,-0.12202859409795754,0.026579712526259368
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,1.5,2.0,77.5,34.0,-0.06842803046353818,0.023903153235734647
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,2.0,3.0,42.5,9.0,-0.3028339176542229,0.06931964995192541
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,2.0,3.0,47.5,9.0,-0.11829970497637987,0.0931439230946536
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,2.0,3.0,52.5,17.0,-0.005588970530559035,0.08144561399919843
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,2.0,3.0,57.5,18.0,-0.09365346210284366,0.04808662252675071
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,2.0,3.0,62.5,41.0,-0.11365845497334148,0.036477794315692924
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-1.5,0.0,2.0,3.0,67.5,35.0,-0.02875290811061859,0.04002792076684571
